StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,PursueHigherEducation,InternetAccessAtHome,StrengthOfFamilialRelationship,FreetimeAfterSchool,HealthStatus,is_synthetic
2223.0,15,0,0,0,0,9,0,1,0,0,0,0,1.76,4.0,0,0,0,0,0,0
0.0,15,0,0,0,1,0,0,0,0,0,0,0,2.0,1.6,1,1,4,5,5,0
0.0,15,0,0,0,1,0,0,0,0,0,0,0,2.2,2.4,1,1,4,5,5,0
0.0,15,0,0,0,1,0,0,3,0,0,0,0,2.0,1.8,1,1,5,4,1,0
0.0,15,0,0,0,1,0,0,3,0,0,0,0,2.2,1.6,1,1,5,4,1,0
0.0,15,0,0,0,1,1,0,0,0,0,0,0,2.6,2.6,1,0,4,3,4,0
0.0,15,0,0,0,1,2,0,0,1,0,0,0,2.0,1.6,1,0,4,4,5,0
0.0,15,0,0,0,1,2,1,3,0,0,0,0,2.2,2.4,1,1,4,2,5,0
0.0,15,0,0,0,1,8,0,3,0,0,0,0,2.4,2.2,1,1,4,2,5,0
0.0,15,0,0,0,1,11,0,0,1,0,0,0,2.4,2.4,1,1,4,3,5,0
413.0,15,0,3,0,1,12,0,3,0,0,0,0,1.6,4.0,0,0,0,0,0,0
0.0,15,0,0,0,2,0,0,3,1,0,0,0,2.8,2.8,1,1,4,3,5,0
0.0,15,0,0,0,2,2,0,3,1,0,0,0,1.8,1.8,1,1,4,3,5,0
0.0,15,0,0,0,2,2,1,0,1,0,0,0,2.6,2.6,1,1,5,3,4,0
0.0,15,0,0,0,2,4,0,0,1,0,0,0,2.0,2.0,1,1,5,4,5,0
0.0,15,0,0,0,2,4,1,0,1,0,0,0,3.0,3.0,1,1,5,3,4,0
0.0,15,0,0,0,2,8,0,0,1,0,0,0,1.8,1.8,1,1,5,4,5,0
0.0,15,0,0,0,2,8,0,3,1,0,0,0,1.8,1.4,1,0,5,4,4,0
0.0,15,0,0,0,2,11,0,3,1,0,0,0,2.0,1.8,1,0,5,5,5,0
1713.0,15,0,1,0,2,13,0,1,0,1,1,0,1.86,4.0,0,0,0,0,0,0
0.0,15,0,0,0,3,0,0,3,0,0,0,0,3.0,2.8,1,1,4,5,3,0
0.0,15,0,0,0,3,0,0,3,0,0,0,0,3.2,2.8,1,1,4,5,3,0
